term	gene
K04894	XP_005674714.1
K04894	XP_005674715.1
K04894	XP_005674716.1
K04896	XP_005674719.1
K14383	XP_005674721.1
K02137	XP_005674722.1
K11787	XP_005674728.3
K11787	XP_005674729.3
K11787	XP_005674730.3
K11787	XP_005674732.3
K23718	XP_005674733.2
K23718	XP_005674734.2
K24229	XP_005674749.2
K11564	XP_005674750.2
K06087	XP_005674765.1
K06087	XP_005674766.2
K02863	XP_005674768.2
K09500	XP_005674770.2
K11844	XP_005674771.2
K11844	XP_005674773.2
K11844	XP_005674774.2
K11844	XP_005674775.2
K22377	XP_005674777.2
K19589	XP_005674778.1
K02131	XP_005674786.1
K02131	XP_005674787.1
K09441	XP_005674790.1
K09441	XP_005674791.1
K06735	XP_005674793.1
K17420	XP_005674794.3
K22398	XP_005674803.2
K06491	XP_005674813.1
K23707	XP_005674825.1
K09491	XP_005674826.1
K25005	XP_005674827.1
K06754	XP_005674833.1
K06753	XP_005674837.1
K06753	XP_005674840.1
K06782	XP_005674846.1
K12192	XP_005674849.2
K09363	XP_005674850.1
K04153	XP_005674852.2
K05104	XP_005674859.1
K03908	XP_005674861.1
K07962	XP_005674864.2
K21969	XP_005674867.1
K21760	XP_005674871.2
K05190	XP_005674873.1
K04257	XP_005674874.2
K04257	XP_005674875.2
K04257	XP_005674876.2
K04257	XP_005674878.1
K04257	XP_005674879.2
K04257	XP_005674880.2
K04257	XP_005674881.1
K08403	XP_005674883.1
K23455	XP_005674887.1
K22555	XP_005674894.2
K17768	XP_005674898.3
K08464	XP_005674911.2
K08596	XP_005674921.2
K17654	XP_005674922.1
K17654	XP_005674923.1
K17654	XP_005674924.1
K10498	XP_005674925.3
K02896	XP_005674926.1
K04257	XP_005674935.1
K04257	XP_005674936.1
K04257	XP_005674937.1
K24794	XP_005674940.3
K04638	XP_005674952.2
K06517	XP_005674960.2
K23794	XP_005674962.2
K23794	XP_005674963.2
K09638	XP_005674969.2
K06556	XP_005674973.1
K06707	XP_005674976.1
K15274	XP_005674979.1
K15274	XP_005674980.1
K27075	XP_005674982.2
K24224	XP_005674985.2
K16490	XP_005674986.2
K02145	XP_005674993.1
K02145	XP_005674994.1
K15407	XP_005674999.2
K04146	XP_005675000.1
K16350	XP_005675002.2
K06772	XP_005675004.1
K17347	XP_005675006.1
K20646	XP_005675010.1
K13667	XP_005675012.1
K23505	XP_005675013.2
K05412	XP_005675014.1
K01245	XP_005675015.2
K13618	XP_005675016.1
K26206	XP_005675019.1
K26206	XP_005675020.1
K02260	XP_005675022.1
K13438	XP_005675026.3
K14726	XP_005675031.1
K08540	XP_005675038.2
K03083	XP_005675039.2
K03960	XP_005675045.2
K00451	XP_005675046.2
K07933	XP_005675047.1
K03136	XP_005675051.1
K02349	XP_005675054.2
K06106	XP_005675058.2
K20478	XP_005675059.2
K16774	XP_005675063.1
K15186	XP_005675069.1
K14637	XP_005675070.2
K14637	XP_005675071.2
K05413	XP_005675074.1
K05413	XP_005675076.1
K13907	XP_005675079.1
K15260	XP_005675085.2
K15261	XP_005675087.2
K19375	XP_005675088.2
K19375	XP_005675089.2
K08520	XP_005675093.1
K16541	XP_005675099.2
K25456	XP_005675100.1
K13421	XP_005675101.2
K24370	XP_005675103.2
K20465	XP_005675105.1
K02917	XP_005675106.1
K02917	XP_005675107.1
K24841	XP_005675108.1
K24841	XP_005675109.1
K19330	XP_005675112.1
K19330	XP_005675113.1
K00968	XP_005675117.1
K14360	XP_005675118.1
K12734	XP_005675121.1
K20779	XP_005675124.2
K24748	XP_005675126.2
K24748	XP_005675127.2
K16801	XP_005675129.1
K16801	XP_005675130.1
K08594	XP_005675133.1
K12883	XP_005675134.1
K12076	XP_005675139.1
K03098	XP_005675150.1
K16833	XP_005675151.1
K23800	XP_005675152.2
K13023	XP_005675159.1
K17079	XP_005675160.2
K17079	XP_005675162.2
K17079	XP_005675163.2
K14951	XP_005675165.2
K14951	XP_005675167.2
K22413	XP_005675171.1
K25713	XP_005675175.1
K04723	XP_005675176.1
K06087	XP_005675180.1
K22459	XP_005675181.3
K10149	XP_005675182.1
K16676	XP_005675191.1
K15618	XP_005675193.2
K15618	XP_005675194.2
K03992	XP_005675198.1
K07296	XP_005675206.1
K03257	XP_005675209.1
K10755	XP_005675210.1
K03898	XP_005675213.2
K23410	XP_005675216.2
K23411	XP_005675217.2
K23409	XP_005675218.1
K09517	XP_005675219.1
K16810	XP_005675220.2
K23483	XP_005675221.1
K04422	XP_005675229.2
K04422	XP_005675230.2
K07514	XP_005675232.1
K20178	XP_005675234.2
K24127	XP_005675236.1
K06854	XP_005675238.1
K06854	XP_005675239.1
K03016	XP_005675241.1
K22857	XP_005675251.1
K06158	XP_005675252.1
K11826	XP_005675253.1
K11826	XP_005675254.1
K04819	XP_005675256.1
K04819	XP_005675257.2
K05668	XP_005675258.1
K09650	XP_005675261.1
K10444	XP_005675268.1
K03766	XP_005675270.1
K17822	XP_005675275.1
K26934	XP_005675276.1
K09539	XP_005675277.1
K15516	XP_005675279.2
K15516	XP_005675283.2
K23729	XP_005675285.2
K17298	XP_005675294.3
K22021	XP_005675297.1
K17392	XP_005675310.2
K03240	XP_005675320.2
K13342	XP_005675327.1
K03961	XP_005675335.1
K17428	XP_005675338.1
K11340	XP_005675342.1
K00922	XP_005675346.1
K10137	XP_005675347.1
K04938	XP_005675350.2
K01301	XP_005675353.2
K07378	XP_005675357.1
K26121	XP_005675361.1
K20704	XP_005675362.1
K20704	XP_005675363.1
K14349	XP_005675364.1
K04721	XP_005675365.1
K04284	XP_005675366.1
K08840	XP_005675370.1
K08840	XP_005675371.1
K08840	XP_005675372.1
K08840	XP_005675373.1
K07593	XP_005675378.2
K02891	XP_005675380.1
K06087	XP_005675383.2
K06069	XP_005675389.1
K08438	XP_005675390.1
K11458	XP_005675392.2
K12275	XP_005675395.1
K27571	XP_005675396.2
K24385	XP_005675399.1
K04462	XP_005675401.1
K04462	XP_005675402.1
K04462	XP_005675404.1
K23540	XP_005675409.2
K23540	XP_005675410.2
K23412	XP_005675414.1
K18269	XP_005675415.2
K23430	XP_005675416.1
K01050	XP_005675420.1
K25834	XP_005675422.2
K24747	XP_005675427.3
K26384	XP_005675430.1
K07562	XP_005675431.2
K00719	XP_005675432.1
K17506	XP_005675434.1
K17200	XP_005675435.1
K12028	XP_005675437.1
K12028	XP_005675439.1
K02355	XP_005675447.1
K15622	XP_005675448.1
K15259	XP_005675462.1
K13251	XP_005675463.2
K04882	XP_005675465.1
K03372	XP_005675467.1
K01389	XP_005675473.1
K22530	XP_005675474.2
K13744	XP_005675475.2
K14943	XP_005675477.1
K14943	XP_005675478.1
K14943	XP_005675480.1
K14943	XP_005675483.1
K10042	XP_005675491.2
K08441	XP_005675494.1
K04299	XP_005675495.2
K04299	XP_005675496.2
K08389	XP_005675497.1
K04298	XP_005675500.1
K23841	XP_005675503.1
K23841	XP_005675504.1
K22366	XP_005675505.3
K15026	XP_005675506.2
K15692	XP_005675507.1
K22558	XP_005675510.1
K24919	XP_005675513.2
K24918	XP_005675514.1
K24921	XP_005675515.2
K13624	XP_005675517.1
K13624	XP_005675518.2
K08780	XP_005675522.2
K09224	XP_005675526.2
K14725	XP_005675532.2
K12842	XP_005675533.1
K12842	XP_005675534.1
K04964	XP_005675537.2
K06640	XP_005675539.1
K12618	XP_005675540.2
